11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     output: Species Biomass Map: acersacc
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:10 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:11 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:11 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:11 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:12 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:15 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     output: Species Biomass Map: betualle
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:15 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:16 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:16 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:16 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:16 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:16 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:17 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:20 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     scenario: Baseline Climate, BaseWind
11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     output: Species Biomass Map: betupapy
11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:20 AM preworker.prepairMaps     INFO     prepair year = 10
