11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:36 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:37 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:37 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:37 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:37 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:38 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:41 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:41 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:02:41 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:41 PM preworker.prepairMaps     INFO     output: Species Biomass Map: acernegu
11/03/2017 02:02:41 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:41 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:02:42 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:02:43 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:02:43 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:02:46 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:02:46 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:02:46 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:02:46 PM preworker.prepairMaps     INFO     output: Species Biomass Map: acerrubr
11/03/2017 02:02:46 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:02:47 PM preworker.prepairMaps     INFO     prepair year = 10
