Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 660, 563, 15, 0, 0, 0, 
10, 666, 367, 38, 0, 0, 0, 
10, 676, 356, 15, 8, 4, 1, 
10, 684, 89, 31, 29, 12, 1, 
10, 685, 411, 69, 69, 380, 5, 
10, 690, 196, 205, 205, 1856, 5, 
10, 692, 314, 21, 21, 21, 4, 
10, 693, 594, 1, 0, 0, 0, 
10, 697, 551, 105, 0, 0, 0, 
10, 702, 364, 86, 85, 411, 4, 
10, 705, 438, 28, 28, 21, 1, 
10, 712, 344, 19, 19, 147, 5, 
10, 713, 305, 95, 95, 904, 5, 
10, 713, 350, 50, 43, 75, 3, 
10, 715, 621, 90, 62, 11, 1.89, 
10, 717, 351, 27, 0, 0, 0, 
10, 721, 359, 227, 0, 0, 0, 
10, 726, 389, 15, 13, 2, 3, 
10, 726, 479, 115, 115, 607, 5, 
10, 727, 378, 27, 0, 0, 0, 
10, 730, 392, 67, 67, 29, 1, 
10, 731, 417, 5, 0, 0, 0, 
10, 731, 573, 261, 0, 0, 0, 
10, 732, 637, 39, 39, 536, 5, 
10, 733, 535, 97, 0, 0, 0, 
10, 735, 415, 92, 92, 423, 4, 
10, 739, 570, 87, 87, 519, 4, 
10, 740, 424, 226, 0, 0, 0, 
10, 743, 598, 77, 75, 132, 3, 
10, 750, 514, 50, 31, 1, 1, 
10, 751, 78, 48, 46, 40, 2, 
10, 754, 347, 432, 46, 351, 4.96, 
10, 754, 668, 18, 18, 57, 3, 
10, 755, 674, 166, 0, 0, 0, 
10, 757, 502, 59, 0, 0, 0, 
10, 757, 574, 38, 0, 0, 0, 
10, 760, 413, 116, 88, 26, 2, 
10, 761, 557, 122, 0, 0, 0, 
10, 769, 578, 23, 0, 0, 0, 
10, 776, 90, 210, 1, 4, 1, 
10, 777, 527, 164, 164, 1399, 5, 
10, 781, 657, 132, 123, 23, 1, 
10, 784, 476, 8, 8, 12, 1, 
10, 785, 544, 2, 2, 16, 4, 
10, 790, 565, 388, 380, 292, 2, 
10, 793, 77, 33, 33, 412, 5, 
10, 794, 661, 73, 73, 157, 3, 
10, 799, 617, 19, 19, 83, 4, 
10, 802, 31, 22, 0, 0, 0, 
10, 813, 528, 9, 0, 0, 0, 
10, 828, 14, 1, 0, 0, 0, 
10, 828, 470, 58, 0, 0, 0, 
10, 829, 481, 8, 0, 0, 0, 
10, 830, 476, 29, 0, 0, 0, 
10, 831, 68, 3, 3, 3, 2, 
10, 831, 658, 21, 0, 0, 0, 
10, 833, 567, 10, 0, 0, 0, 
10, 834, 26, 293, 0, 0, 0, 
10, 836, 657, 153, 153, 1234, 5, 
10, 837, 439, 19, 19, 10, 3, 
10, 838, 67, 55, 54, 113, 2.91, 
10, 841, 567, 147, 0, 0, 0, 
10, 846, 317, 276, 275, 183, 1.98, 
10, 847, 16, 90, 90, 415, 4, 
10, 849, 318, 618, 0, 0, 0, 
